epic_id,epic_name,capability_id,team,owner,priority,story_points,start_date,planned_end_date,actual_end_date,cycle_time_days,status,days_in_current_status,defect_count
EPIC-00001,Decommission Activation auth flow,CAP-0001,Team Draco,P. Wong,P2,21,2025-11-05,2025-12-28,2025-12-27,52,Done,8,4
EPIC-00002,Refactor Activation auth flow,CAP-0001,Team Draco,A. Johnson,P2,3,2025-10-25,2025-11-11,,17,In Progress,11,0
EPIC-00003,Migrate Activation endpoint,CAP-0001,Team Orion,P. Wong,P2,3,2025-10-21,2025-11-08,2025-11-07,17,Done,12,3
EPIC-00004,Refactor Activation batch job,CAP-0001,Team Vega,A. Johnson,P3,3,2025-10-04,2025-12-01,,62,In Progress,5,0
EPIC-00005,Integrate Activation endpoint,CAP-0001,Team Vega,R. Kumar,P2,13,2025-11-13,2025-12-14,,33,Not Started,3,0
EPIC-00006,Build Activation batch job,CAP-0001,Team Atlas,P. Wong,P3,3,2025-10-05,2025-12-02,,58,Blocked,9,2
EPIC-00007,Build Activation batch job,CAP-0001,Team Phoenix,S. Rai,P2,21,2025-10-06,2025-11-27,,51,In Progress,11,0
EPIC-00008,Automate Activation event consumer,CAP-0001,Team Phoenix,M. Patel,P3,13,2025-09-27,2025-11-10,2025-11-21,55,Done,5,8
EPIC-00009,Build Activation dashboard,CAP-0001,Team Atlas,D. Singh,P3,8,2025-10-12,2025-11-16,,34,In Progress,6,0
EPIC-00010,Automate Activation event consumer,CAP-0001,Team Draco,J. Chen,P3,21,2025-10-21,2025-11-06,,16,In Review,6,2
EPIC-00011,Integrate Activation event consumer,CAP-0001,Team Phoenix,P. Wong,P3,3,2025-10-20,2025-12-02,,43,Blocked,6,2
EPIC-00012,Refactor Activation auth flow,CAP-0001,Team Vega,S. Rai,P1,5,2025-09-24,2025-10-26,2025-11-03,40,Done,2,3
EPIC-00013,Decommission Diagnostics ingestion job,CAP-0002,Team Phoenix,M. Patel,P3,8,2025-08-22,2025-09-19,2025-09-26,35,Done,2,0
EPIC-00014,Build Diagnostics event consumer,CAP-0002,Team Lyra,M. Patel,P3,5,2025-09-16,2025-10-30,2025-11-10,55,Done,9,1
